"Número","Curiosidade"
"1","Pikachu é o Pokémon mais icônico da franquia e sua popularidade ajudou a popularizar a série globalmente."
"2","Bulbasaur, Charmander e Squirtle são os Pokémon iniciais da região de Kanto, a primeira região introduzida nos jogos."
"3","Ditto pode transformar-se em qualquer Pokémon, mas não pode copiar os moves de Pokémon que não conhece."
"4","Jigglypuff é conhecido por seu canto hipnótico que faz com que todos durmam, uma característica importante em sua descrição."
"5","Mewtwo é um Pokémon lendário criado artificialmente a partir do DNA de Mew, um dos Pokémon mais antigos e poderosos."
"6","Eevee tem várias evoluções, incluindo Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon e Sylveon."
"7","Arceus é considerado o 'Criador' dos Pokémon e é muitas vezes chamado de Deus Pokémon, sendo um dos Pokémon mais poderosos."
"8","Lucario pode detectar e manipular o 'Aura', uma forma de energia espiritual que é central para suas habilidades de combate."
"9","Gengar é conhecido por seu sorriso sinistro e sua habilidade de se tornar invisível, além de ser um Pokémon do tipo Fantasma/Poison."
"10","Mew e Mewtwo foram introduzidos no jogo original de Pokémon como Pokémon muito raros e poderosos."
"11","Psyduck sofre de dores de cabeça frequentes que podem desencadear poderes psíquicos quando ficam muito fortes."
"12","Snorlax é conhecido por sua habilidade de dormir em locais problemáticos, muitas vezes bloqueando o caminho para os treinadores."
"13","Greninja, uma das evoluções de Froakie, é famoso por seu design de ninja e é um dos Pokémon iniciais da região de Kalos."
"14","Jynx é o único Pokémon que pode ter o tipo Ice e o tipo Psychic ao mesmo tempo, o que a torna única em termos de combinações de tipos."
"15","Gyarados é a evolução de Magikarp, um Pokémon considerado um dos mais fracos antes de evoluir para uma das criaturas mais poderosas."
"16","Shedinja é uma forma evoluída de Nincada, e é conhecido por sua habilidade única de ter apenas 1 HP e ser imune a muitos tipos de ataques."
"17","Alakazam é conhecido por ter um QI extremamente alto e por sua habilidade de usar poderes psíquicos avançados."
"18","Mimikyu se disfarça como Pikachu para obter a atenção e carinho dos treinadores, já que se sente rejeitado."
"19","Gardevoir é conhecido por sua lealdade aos treinadores e por proteger seus aliados com seu poder psíquico."
"20","Salamence é um Pokémon do tipo Dragão/Voar que evolui de Shelgon e é conhecido por sua incrível força e habilidade de voar."
